SOR OMEGA test
Array size = 32 x 32
0.50, 1979, 2304, 1857, 993, 1291, 1596, 1980, 2273, 1959, 1967
0.51, 2132, 1998, 1339, 2183, 1933, 2118, 1773, 2177, 1907, 1820
0.51, 1299, 1971, 1925, 1708, 1770, 1583, 1635, 2039, 1977, 1506
0.52, 2145, 1701, 2057, 1789, 1808, 2303, 2061, 1673, 2043, 2044
0.52, 1919, 1978, 1956, 1806, 1883, 1010, 1943, 2024, 2022, 1831
0.53, 1649, 2076, 1905, 1779, 1928, 2008, 1246, 1648, 1969, 1946
0.53, 1986, 1977, 1792, 1963, 1765, 1944, 1615, 2167, 1922, 1908
0.54, 1940, 2097, 1463, 1596, 842, 1759, 1899, 1421, 1892, 2099
0.54, 1857, 1933, 1652, 1956, 1882, 1683, 1899, 1947, 1936, 1911
0.55, 1406, 1432, 1311, 916, 1836, 1850, 1011, 1618, 1568, 1929
0.55, 1650, 1694, 1709, 1825, 1525, 1301, 1867, 1877, 1769, 1395
0.56, 1599, 1953, 932, 1274, 1840, 1388, 1078, 1658, 1925, 1943
0.56, 1155, 1675, 1793, 1818, 2053, 1734, 1650, 1864, 2042, 1992
0.57, 1844, 909, 1735, 1774, 1529, 1848, 1510, 1625, 1765, 909
0.57, 1593, 1851, 1720, 1829, 1299, 1617, 1739, 1545, 1351, 1639
0.58, 1639, 1695, 1650, 1629, 1543, 1816, 1711, 1478, 1589, 1833
0.58, 1374, 1771, 1634, 1201, 1829, 1443, 1294, 1435, 1568, 1750
0.59, 1495, 1482, 1787, 1045, 1739, 1744, 1603, 1571, 1635, 1651
0.59, 1698, 1611, 1715, 1439, 1375, 1304, 1778, 1807, 1587, 1150
0.60, 1639, 1314, 1829, 1714, 1514, 1666, 1493, 1627, 1800, 1293
0.60, 1379, 1735, 1629, 1475, 1631, 1734, 1482, 1501, 1052, 1716
0.61, 1499, 1393, 1639, 1440, 1388, 1685, 1682, 1019, 1609, 1589
0.61, 1714, 1379, 1310, 1527, 1519, 1465, 1289, 1481, 990, 1545
0.62, 1408, 1708, 1824, 1610, 1768, 1709, 1581, 1362, 1188, 1479
0.62, 738, 1367, 1558, 1507, 1552, 1385, 1496, 1473, 1570, 1713
0.63, 1184, 1305, 1345, 1625, 1464, 1227, 1427, 1508, 1580, 1518
0.63, 1495, 1500, 1480, 1257, 1107, 1269, 1554, 1599, 1605, 1426
0.64, 1443, 1324, 892, 1640, 1466, 1325, 1607, 1255, 1462, 1360
0.64, 1216, 1584, 1432, 880, 1283, 1135, 1528, 1410, 1162, 1455
0.65, 1349, 1697, 1428, 1317, 1501, 1477, 1404, 1655, 1367, 1349
0.65, 1170, 1494, 1257, 1476, 1289, 1454, 1646, 1448, 1377, 1535
0.66, 1365, 1605, 1254, 993, 1399, 898, 1272, 1418, 1161, 1481
0.66, 1307, 1353, 1596, 1583, 1408, 1473, 1318, 1224, 889, 1547
0.67, 957, 1318, 1505, 1164, 1202, 1213, 1297, 1497, 1518, 992
0.67, 1261, 1259, 1508, 1409, 1478, 1184, 1179, 1383, 1435, 1391
0.68, 1476, 1262, 1345, 991, 1343, 1332, 1434, 1362, 1439, 1473
0.68, 1376, 1373, 1290, 1157, 714, 1459, 1229, 1508, 1264, 1515
0.69, 1331, 1321, 999, 1390, 645, 1327, 1031, 1280, 1526, 1426
0.69, 814, 1398, 1439, 1340, 1270, 1228, 1067, 1441, 1321, 1447
0.70, 1262, 1450, 1493, 1326, 665, 1448, 908, 1022, 1294, 1198
0.70, 1431, 1081, 1313, 1044, 1304, 1233, 1147, 1079, 1178, 1282
0.71, 1022, 1308, 1200, 1362, 1320, 717, 1215, 1356, 1078, 823
0.71, 949, 1180, 1068, 1191, 1186, 1201, 1184, 1331, 1375, 1335
0.72, 1182, 755, 1279, 1169, 1196, 1431, 1406, 1290, 1034, 1376
0.72, 998, 1296, 1005, 1170, 1287, 900, 1318, 1049, 1382, 1192
0.73, 1297, 1238, 1350, 962, 1216, 1235, 1357, 1090, 1270, 1343
0.73, 1250, 1010, 1151, 1229, 1090, 1410, 1203, 1342, 1286, 1265
0.74, 785, 1228, 928, 1256, 1186, 1163, 1141, 1054, 1273, 1215
0.74, 1267, 1163, 958, 1066, 1215, 998, 1042, 1139, 1130, 1151
0.75, 1236, 1274, 1237, 934, 1085, 823, 1105, 1159, 1219, 714
0.75, 1346, 1113, 1102, 1084, 1275, 895, 1234, 1190, 1296, 1239
0.76, 488, 1081, 996, 1259, 826, 925, 1210, 825, 1023, 796
0.76, 1164, 1219, 1132, 1125, 1280, 983, 1195, 1135, 874, 1229
0.77, 1169, 1185, 1091, 891, 877, 1202, 949, 746, 1159, 1109
0.77, 1221, 944, 664, 1214, 1255, 1042, 1146, 891, 1242, 1060
0.78, 1255, 1018, 1248, 1035, 998, 1168, 863, 1050, 736, 1135
0.78, 679, 1059, 1050, 647, 1187, 1028, 861, 1156, 1223, 959
0.79, 1092, 1211, 955, 975, 1140, 1090, 897, 1251, 1112, 945
0.79, 1137, 812, 1008, 1040, 532, 1107, 525, 1228, 1177, 871
0.80, 1110, 612, 942, 1097, 675, 1165, 1053, 660, 912, 1044
0.80, 1064, 697, 1105, 1054, 1096, 1061, 797, 1097, 1113, 649
0.81, 966, 1030, 1064, 905, 634, 1174, 1064, 621, 781, 1110
0.81, 815, 725, 1044, 936, 798, 967, 1080, 1049, 905, 806
0.82, 1115, 810, 655, 1049, 950, 878, 687, 868, 1102, 776
0.82, 1070, 1002, 1011, 919, 908, 995, 846, 1051, 951, 984
0.83, 1140, 586, 952, 1068, 489, 826, 799, 490, 1043, 850
0.83, 675, 970, 909, 1051, 908, 1079, 1076, 1036, 924, 929
0.84, 1053, 764, 1052, 1038, 1048, 911, 947, 687, 1108, 949
0.84, 1032, 792, 963, 464, 983, 1080, 970, 595, 972, 928
0.85, 864, 1026, 761, 960, 879, 870, 1001, 938, 840, 1020
0.85, 908, 1039, 960, 1007, 807, 873, 735, 871, 956, 857
0.86, 983, 1063, 975, 917, 864, 679, 883, 727, 783, 956
0.86, 948, 765, 730, 928, 1094, 953, 988, 845, 430, 919
0.87, 932, 823, 774, 1031, 1014, 635, 856, 668, 964, 768
0.87, 1019, 776, 1018, 975, 1037, 594, 866, 870, 937, 761
0.88, 879, 831, 924, 929, 780, 988, 1008, 650, 854, 877
0.88, 916, 965, 952, 932, 793, 963, 930, 812, 1017, 877
0.89, 846, 1017, 874, 914, 630, 673, 632, 921, 921, 907
0.89, 881, 692, 550, 838, 836, 795, 574, 856, 873, 952
0.90, 966, 507, 679, 935, 906, 869, 786, 947, 765, 883
0.90, 964, 722, 801, 820, 982, 832, 895, 905, 832, 903
0.91, 946, 989, 926, 900, 947, 964, 804, 944, 821, 567
0.91, 916, 744, 611, 950, 893, 836, 863, 820, 740, 800
0.92, 842, 881, 899, 855, 951, 872, 901, 788, 935, 720
0.92, 965, 634, 689, 494, 623, 892, 812, 557, 749, 793
0.93, 905, 808, 735, 968, 880, 886, 743, 823, 606, 832
0.93, 849, 816, 667, 799, 557, 434, 778, 714, 784, 889
0.94, 812, 833, 871, 759, 596, 429, 869, 837, 787, 763
0.94, 588, 769, 824, 666, 437, 773, 861, 510, 810, 643
0.95, 840, 678, 806, 813, 775, 779, 803, 749, 574, 827
0.95, 726, 781, 878, 783, 791, 652, 846, 733, 763, 743
0.96, 774, 642, 508, 664, 847, 782, 640, 703, 696, 727
0.96, 806, 842, 647, 901, 810, 666, 746, 789, 591, 739
0.97, 700, 680, 779, 713, 418, 571, 443, 794, 830, 777
0.97, 714, 794, 483, 737, 798, 710, 809, 728, 655, 860
0.98, 835, 808, 775, 827, 824, 686, 796, 698, 761, 656
0.98, 347, 815, 815, 792, 802, 869, 767, 699, 635, 672
0.99, 665, 706, 370, 510, 847, 706, 725, 577, 622, 725
0.99, 823, 696, 481, 768, 742, 413, 668, 787, 789, 780
1.00, 794, 666, 756, 719, 586, 407, 800, 493, 728, 691

OMEGA, average iterations
0.5000, 1819.9
0.5050, 1938.0
0.5100, 1741.3
0.5150, 1962.4
0.5200, 1837.2
0.5250, 1815.4
0.5300, 1903.9
0.5350, 1700.8
0.5400, 1865.6
0.5450, 1487.7
0.5500, 1661.2
0.5550, 1559.0
0.5600, 1777.6
0.5650, 1544.8
0.5700, 1618.3
0.5750, 1658.3
0.5800, 1529.9
0.5850, 1575.2
0.5900, 1546.4
0.5950, 1588.9
0.6000, 1533.4
0.6050, 1494.3
0.6100, 1421.9
0.6150, 1563.7
0.6200, 1435.9
0.6250, 1418.3
0.6300, 1429.2
0.6350, 1377.4
0.6400, 1308.5
0.6450, 1454.4
0.6500, 1414.6
0.6550, 1284.6
0.6600, 1369.8
0.6650, 1266.3
0.6700, 1348.7
0.6750, 1345.7
0.6800, 1288.5
0.6850, 1227.6
0.6900, 1276.5
0.6950, 1206.6
0.7000, 1209.2
0.7050, 1140.1
0.7100, 1200.0
0.7150, 1211.8
0.7200, 1159.7
0.7250, 1235.8
0.7300, 1223.6
0.7350, 1122.9
0.7400, 1112.9
0.7450, 1078.6
0.7500, 1177.4
0.7550, 942.9
0.7600, 1133.6
0.7650, 1037.8
0.7700, 1067.9
0.7750, 1050.6
0.7800, 984.9
0.7850, 1066.8
0.7900, 943.7
0.7950, 927.0
0.8000, 973.3
0.8050, 934.9
0.8100, 912.5
0.8150, 889.0
0.8200, 973.7
0.8250, 824.3
0.8300, 955.7
0.8350, 955.7
0.8400, 877.9
0.8450, 915.9
0.8500, 901.3
0.8550, 883.0
0.8600, 860.0
0.8650, 846.5
0.8700, 885.3
0.8750, 872.0
0.8800, 915.7
0.8850, 833.5
0.8900, 784.7
0.8950, 824.3
0.9000, 865.6
0.9050, 880.8
0.9100, 817.3
0.9150, 864.4
0.9200, 720.8
0.9250, 818.6
0.9300, 728.7
0.9350, 755.6
0.9400, 688.1
0.9450, 764.4
0.9500, 769.6
0.9550, 698.3
0.9600, 753.7
0.9650, 670.5
0.9700, 728.8
0.9750, 766.6
0.9800, 721.3
0.9850, 645.3
0.9900, 694.7
0.9950, 664.0
