Transpose (lab3)
testing option 0
testing option 1
testing option 2
size,   ij,   ji,    blocking 
8,  2253, 1881, 1672
24,  3026, 2779, 2016
56,  11090, 8323, 3734
104,  32042, 21134, 9482
168,  79576, 49060, 21208
248,  228045, 104200, 46886
344,  528170, 197347, 99967
456,  1321792, 356476, 181372
584,  2533771, 843494, 286797
728,  3401462, 1493625, 445236

Wakeup delay calculated 1.005707
