Transpose (lab3)
testing option 0
testing option 1
testing option 2
size,   ij,   ji,    blocking 
8,  2611, 1999, 1600
24,  2776, 2844, 2020
56,  9482, 7718, 3648
104,  31341, 20416, 9391
168,  77556, 49012, 21213
248,  230318, 103363, 46677
344,  535111, 197976, 99835
456,  1320936, 356647, 175747
584,  2533118, 836968, 287390
728,  3401174, 1501053, 445466

Wakeup delay calculated 1.005707
