200000,  13345.8190
300000,  13320.3914
400000,  13296.4130
500000,  13044.5768
600000,  12505.4487
700000,  11829.0170
800000,  11940.4644
900000,  11802.6223
1000000,  11722.5571
1100000,  11680.1553
1200000,  11651.5503
1300000,  11632.3931
1400000,  11588.8710
1500000,  11595.0132
1600000,  11589.7067
1700000,  11583.2843
1800000,  11568.3360
1900000,  11558.4534
2000000,  11541.1306
2100000,  11535.7938
2200000,  11522.5489
2300000,  11524.8943
2400000,  11508.9742
2500000,  11505.7025
2600000,  11504.7741
2700000,  11478.8165
2800000,  11487.8567
2900000,  11479.6049
3000000,  11477.0045
